time,velolicity0,v1,v2,angularRate0,a1,a2,position0,p1,p2,quaternion0,q1,q2,q3,thrust,elevator,rudder
asdf,asdf,asdf
0.01,12.9708,-0.220233,0.771401,0.0131314,4.27434,-0.741931,0.129703,3.00545,-0.00619829,-0.642865,0.765351,-0.0306635,-0.00477858,0.172707,-0.135811,0.00146869
0.02,12.969,-0.219981,0.755211,0.0148831,4.28387,-0.741976,0.259562,3.00539,-0.0104674,-0.642129,0.765341,-0.0415705,0.0139826,0.172707,-0.135811,0.00146869
0.03,12.9685,-0.219737,0.745783,0.0150543,4.29352,-0.742147,0.389336,2.99989,-0.0128066,-0.641092,0.764966,-0.0524889,0.0327754,0.172707,-0.135811,0.00146869
0.04,12.9693,-0.219483,0.740557,0.0150025,4.30171,-0.742289,0.518788,2.98901,-0.0132136,-0.639747,0.764226,-0.0634105,0.0515873,0.172707,-0.135811,0.00146869
0.05,12.9715,-0.219207,0.737873,0.0149109,4.30816,-0.742387,0.647683,2.97279,-0.0116859,-0.638095,0.763121,-0.0743248,0.0704031,0.172707,-0.135811,0.00146869
0.06,12.9751,-0.218895,0.736692,0.0148008,4.31311,-0.742437,0.77579,2.95127,-0.00822281,-0.636136,0.761649,-0.0852215,0.0892069,0.172707,-0.135811,0.00146869
0.07,12.98,-0.218535,0.736396,0.0146716,4.31699,-0.742437,0.902878,2.92449,-0.00282544,-0.63387,0.759812,-0.0960912,0.107985,0.172707,-0.135811,0.00146869
0.08,12.9864,-0.218111,0.736629,0.0145201,4.32021,-0.742383,1.02871,2.8925,0.00450222,-0.631298,0.757608,-0.106926,0.126724,0.172707,-0.135811,0.00146869
0.09,12.9942,-0.217613,0.737199,0.0143426,4.32309,-0.742268,1.15307,2.85535,0.0137533,-0.62842,0.755039,-0.11772,0.145414,0.172707,-0.135811,0.00146869
0.1,13.0033,-0.217027,0.738009,0.0141361,4.32588,-0.742085,1.27572,2.81311,0.0249179,-0.625238,0.752106,-0.128466,0.164043,0.172707,-0.135811,0.00146869
0.11,13.0138,-0.216344,0.739013,0.0138978,4.32874,-0.741822,1.39644,2.76584,0.0379827,-0.621752,0.748808,-0.139161,0.182603,0.172707,-0.135811,0.00146869
0.12,13.0256,-0.215555,0.740193,0.0136253,4.33179,-0.74147,1.515,2.71362,0.0529313,-0.617964,0.745147,-0.149799,0.201086,0.172707,-0.135811,0.00146869
0.13,13.0387,-0.214654,0.741544,0.0133172,4.3351,-0.741017,1.63118,2.65653,0.0697438,-0.613874,0.741124,-0.160376,0.219481,0.172707,-0.135811,0.00146869
0.14,13.0531,-0.213636,0.743066,0.0129724,4.3387,-0.740452,1.74476,2.59468,0.0883974,-0.609484,0.736739,-0.170888,0.237781,0.172707,-0.135811,0.00146869
0.15,13.0687,-0.212499,0.74476,0.012591,4.34261,-0.739762,1.85554,2.52815,0.108866,-0.604795,0.731994,-0.181332,0.255978,0.172707,-0.135811,0.00146869
0.16,13.0856,-0.211243,0.746626,0.0121736,4.34683,-0.738935,1.96328,2.45706,0.131119,-0.599809,0.726889,-0.191703,0.274063,0.172707,-0.135811,0.00146869
0.17,13.1036,-0.209868,0.748665,0.0117218,4.35136,-0.737961,2.06779,2.38154,0.155125,-0.594526,0.721425,-0.201999,0.292027,0.172707,-0.135811,0.00146869
0.18,13.1227,-0.20838,0.750874,0.0112377,4.35619,-0.736829,2.16886,2.30169,0.180847,-0.588949,0.715603,-0.212214,0.309862,0.172707,-0.135811,0.00146869
